,0,1,2,3,4,5,6,7,8,9
ADAMTS3→CCBE1,8.596079419805693e-09,8.596079419805693e-09,0.0,0.0,0.0,0.0,0.0,8.596079419805693e-09,0.0,0.0
ADA→DPP4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1→ADCYAP1R1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1→ADRB2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1→ADRB3,2.245897494372069e-06,2.245897494372069e-06,0.0,0.0,0.0,0.0,0.0,2.245897494372069e-06,0.0,0.0
ADCYAP1→DPP4,4.774052238805855e-07,4.774052238805855e-07,0.0005400594206741144,0.0005400594206741144,0.0005400594206741144,0.0,0.0005400594206741144,4.774052238805855e-07,0.0005400594206741144,0.0005400594206741144
ADCYAP1→GPR20,1.9854742197482492e-05,1.9854742197482492e-05,0.0001570628564766828,0.0001570628564766828,0.0001570628564766828,0.0,0.0001570628564766828,1.9854742197482492e-05,0.0001570628564766828,0.0001570628564766828
ADCYAP1→GPR84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADCYAP1→PTH1R,0.0,0.0,7.878886305463865e-05,7.878886305463865e-05,7.878886305463865e-05,0.0,7.878886305463865e-05,0.0,7.878886305463865e-05,7.878886305463865e-05
ADCYAP1→RAMP2,7.188465779493327e-05,7.188465779493327e-05,0.0,0.0,0.0,0.0,0.0,7.188465779493327e-05,0.0,0.0
ADCYAP1→RAMP3,1.6657682003231275e-07,1.6657682003231275e-07,0.0,0.0,0.0,0.0,0.0,1.6657682003231275e-07,0.0,0.0
ADCYAP1→SCTR,1.2247706253064511e-05,1.2247706253064511e-05,0.0,0.0,0.0,0.0,0.0,1.2247706253064511e-05,0.0,0.0
ADCYAP1→TSHR,0.0,0.0,0.00029043933527593275,0.00029043933527593275,0.00029043933527593275,0.0,0.00029043933527593275,0.0,0.00029043933527593275,0.00029043933527593275
ADCYAP1→VIPR1,2.7883474546914504e-05,2.7883474546914504e-05,0.0,0.0,0.0,0.0,0.0,2.7883474546914504e-05,0.0,0.0
ADCYAP1→VIPR2,7.338528442272467e-05,7.338528442272467e-05,0.0,0.0,0.0,0.00023913248518669133,0.0,7.338528442272467e-05,0.0,0.0
ADGRB1→RTN4R,0.0,0.0,0.0005325430975729737,0.0005325430975729737,0.0005325430975729737,0.0,0.0005325430975729737,0.0,0.0005325430975729737,0.0005325430975729737
